Least of These Carolinas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Budget vs. Actuals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All dates; Accounting Method: Cash; Budget: Budget_FY26_P&L; Display columns by: ; Show rows: Active; Show columns: Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,Administrative Actual,Administrative Budget,Administrative Over Budget,Administrative % of Budget,Childrens Programs &lt; Actual,Childrens Programs &lt; Budget,Childrens Programs &lt; Over Budget,Childrens Programs &lt; % of Budget,Baby Equipment Actual,Baby Equipment Budget,Baby Equipment Over Budget,Baby Equipment % of Budget,Bags of Hope Actual,Bags of Hope Budget,Bags of Hope Over Budget,Bags of Hope % of Budget,Beds of Hope Actual,Beds of Hope Budget,Beds of Hope Over Budget,Beds of Hope % of Budget,Birthdays Actual,Birthdays Budget,Birthdays Over Budget,Birthdays % of Budget,Bridge Camp Actual,Bridge Camp Budget,Bridge Camp Over Budget,Bridge Camp % of Budget,Christmas Actual,Christmas Budget,Christmas Over Budget,Christmas % of Budget,Just Like You Actual,Just Like You Budget,Just Like You Over Budget,Just Like You % of Budget,Life Boxes Actual,Life Boxes Budget,Life Boxes Over Budget,Life Boxes % of Budget,Shoes of Hope Actual,Shoes of Hope Budget,Shoes of Hope Over Budget,Shoes of Hope % of Budget,Total Childrens Programs &lt; Actual,Total Childrens Programs &lt; Budget,Total Childrens Programs &lt; Over Budget,Total Childrens Programs &lt; % of Budget,Cornerstone Fund Actual,Cornerstone Fund Budget,Cornerstone Fund Over Budget,Cornerstone Fund % of Budget,Fundraising &lt; Actual,Fundraising &lt; Budget,Fundraising &lt; Over Budget,Fundraising &lt; % of Budget,Golf Tournament Actual,Golf Tournament Budget,Golf Tournament Over Budget,Golf Tournament % of Budget,Vision Night Actual,Vision Night Budget,Vision Night Over Budget,Vision Night % of Budget,Total Fundraising &lt; Actual,Total Fundraising &lt; Budget,Total Fundraising &lt; Over Budget,Total Fundraising &lt; % of Budget,NC Expansion Actual,NC Expansion Budget,NC Expansion Over Budget,NC Expansion % of Budget,Support Services Actual,Support Services Budget,Support Services Over Budget,Support Services % of Budget,Total Actual,Total Budget,Total Over Budget,Total % of Budget
Total 610 Professional Fees,21890.36,100760.00,-78869.64,21.73 %,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,400.00,-400.00,0.00,1865.00,2500.00,-635.00,74.60 %,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1865.00,2900.00,-1035.00,64.31 %,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23755.36,103660.00,-79904.64,22.92 %
620 Office Expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00%
62000 Office Supplies,359.90,5000.00,-4640.10,7.20 %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359.90,5000.00,-4640.10,7.20 %
62005 Postage and Delivery,183.25,1000.00,-816.75,18.33 %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183.25,1000.00,-816.75,18.33 %
62010 Telephone and  Internet,1250.82,10260.00,-9009.18,12.19 %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250.82,10260.00,-9009.18,12.19 %
62025 Printing and Reproduction,123.92,2000.00,-1876.08,6.20 %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.92,2000.00,-1876.08,6.20 %
Total 620 Office Expenses,1917.89,18260.00,-16342.11,10.50 %,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1917.89,18260.00,-16342.11,10.50 %
630 Occupancy Expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00%
63000 Rent & Lease,705.27,2802.00,-2096.73,25.17 %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,705.27,2802.00,-2096.73,25.17 %
63010 Utilities,4421.57,29000.00,-24578.43,15.25 %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4421.57,29000.00,-24578.43,15.25 %
63015 Building Security,179.85,1600.00,-1420.15,11.24 %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179.85,1600.00,-1420.15,11.24 %
63020 Landscaping Expenses,450.00,3000.00,-2550.00,15.00 %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450.00,3000.00,-2550.00,15.00 %
63025 Building Repairs and Maintenance,629.46,6000.00,-5370.54,10.49 %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,629.46,6000.00,-5370.54,10.49 %
63030 Mortgage Interest,4684.03,78000.00,-73315.97,6.01 %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4684.03,78000.00,-73315.97,6.01 %
66100 Insurance,,16000.00,-16000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,16000.00,-16000.00,0.00%
Total 630 Occupancy Expenses,11070.18,136402.00,-125331.82,8.12 %,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11070.18,136402.00,-125331.82,8.12 %
640 Operational Expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00%
64000 Bank Service Charges,,100.00,-100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,100.00,-100.00,0.00%
64010 Software Subscriptions,1176.62,3250.00,-2073.38,36.20 %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1176.62,3250.00,-2073.38,36.20 %
64025 Membership Dues and Subscriptions,14.95,4000.00,-3985.05,0.37 %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.95,4000.00,-3985.05,0.37 %
64030 Depreciation Expense,5103.07,73741.00,-68637.93,6.92 %,,,,,,,,,4.72,,4.72,,,,,,,,,,,,,,0.89,,0.89,,,,,,,,,,,,,,5.61,,5.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5108.68,73741.00,-68632.32,6.93 %
64035 Automobile Expenses,478.54,7500.00,-7021.46,6.38 %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,478.54,7500.00,-7021.46,6.38 %
64060 Reconciliation Differences,-1.63,,-1.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.63,0.00,-1.63,0.00%
64090 Melio Service Fees,44.00,250.00,-206.00,17.60 %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.00,250.00,-206.00,17.60 %
Total 640 Operational Expenses,6815.55,88841.00,-82025.45,7.67 %,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.72,0.00,4.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.89,0.00,0.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.61,0.00,5.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6821.16,88841.00,-82019.84,7.68 %
"650 Travel, Meals and Entertainment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00%
65000 Transportation,,,,,,,,,,,,,,,,,,,,,,,,,,500.00,-500.00,,,,,,,,,,,,,,,,,,,500.00,-500.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,500.00,-500.00,0.00%
65010 Lodging,,,,,,,,,,,,,,,,,,,,,,,,,,1000.00,-1000.00,,,,,,,,,,,,,,,,,,,1000.00,-1000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1000.00,-1000.00,0.00%
65020 Meals,220.65,,220.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220.65,0.00,220.65,0.00%
65068 Conferences,,4375.00,-4375.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,4375.00,-4375.00,0.00%
"Total 650 Travel, Meals and Entertainment",220.65,4375.00,-4154.35,5.04 %,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1500.00,-1500.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1500.00,-1500.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,220.65,5875.00,-5654.35,3.76 %
670 Event / Fundraising Expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00%
67001 Appreciation,,,,,,,,,,,,,,,,,,,,,,,,,,500.00,-500.00,,,150.00,-150.00,,,,,,,,,,,,,,,650.00,-650.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,650.00,-650.00,0.00%
67005 Venue Rental,,,,,,,,,,,,,,,,,,,,,,,,,,120000.00,-120000.00,,,,,,,,,,,,,,,,,,,120000.00,-120000.00,,,,,,,,,,,8000.00,-8000.00,,,,,,,8000.00,-8000.00,,,,,,,,,,0.00,128000.00,-128000.00,0.00%
67010 Equipment Rental,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1650.00,-1650.00,,,,,,,,,,,,,,,1650.00,-1650.00,,,,,,,,,,,,,,,2000.00,-2000.00,,,2000.00,-2000.00,,,,,,,,,,0.00,3650.00,-3650.00,0.00%
67015 Entertainment / Speakers,,,,,,,,,,,,,,,,,,,,,,,,,,7000.00,-7000.00,,,8200.00,-8200.00,,,,,,,,,,,,,,,15200.00,-15200.00,,,,,,,,,,,,,,,800.00,-800.00,,,800.00,-800.00,,,,,,,,,,0.00,16000.00,-16000.00,0.00%
67018 Event Security,,,,,,,,,,,,,,,,,,,,,,,,,,3000.00,-3000.00,,,0.00,0.00,,,,,,,,,,,,,,,3000.00,-3000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,3000.00,-3000.00,0.00%
67025 Other Event / Fundraising Expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000.00,-1000.00,,,845.00,-845.00,,,1845.00,-1845.00,,,,,,,,,,0.00,1845.00,-1845.00,0.00%
67028 Event food,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300.00,-300.00,,,,,,,,,,,1000.00,-1000.00,,,1300.00,-1300.00,,,,,,,,,,,,,,,3450.00,-3450.00,,,3450.00,-3450.00,,,,,,,,,,0.00,4750.00,-4750.00,0.00%
67031 event manager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000.00,-1000.00,,,,,,,,,,,,,,,1000.00,-1000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1000.00,-1000.00,0.00%
67035 Event Supplies & Decorations,,,,,,,,,,,,,,,,,,,,,,,,,,2550.00,-2550.00,,,800.00,-800.00,,,,,,,,,,,250.00,-250.00,,,3600.00,-3600.00,,,,,,,,,,,,,,26.70,,26.70,,26.70,,26.70,,,,,,,,,,26.70,3600.00,-3573.30,0.74 %
67081 Event T-Shirts,,,,,,,,,,,,,,,,,,,,,,,,,,2500.00,-2500.00,,,2000.00,-2000.00,,,,,,,,,,,,,,,4500.00,-4500.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,4500.00,-4500.00,0.00%
Total 670 Event / Fundraising Expenses,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,135550.00,-135550.00,0.00,0.00,14100.00,-14100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1250.00,-1250.00,0.00,0.00,150900.00,-150900.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9000.00,-9000.00,0.00,26.70,7095.00,-7068.30,0.38 %,26.70,16095.00,-16068.30,0.17 %,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.70,166995.00,-166968.30,0.02 %
6710 Event / Fundraising - In Kind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00%
67101 Event Food - In Kind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4250.00,-4250.00,,,,,,,,,,,9000.00,-9000.00,,,13250.00,-13250.00,,,,,,,,,,,2250.00,-2250.00,,,,,,,2250.00,-2250.00,,,,,,,,,,0.00,15500.00,-15500.00,0.00%
67102 Gift Wrapping Supplies - In Kind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.00,600.00,-459.00,23.50 %,,,,,,,,,,,,,141.00,600.00,-459.00,23.50 %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.00,600.00,-459.00,23.50 %
67105 Event Supplies and Decorations - In Kind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270.00,,270.00,,270.00,,270.00,,,,,,,,,,270.00,0.00,270.00,0.00%
67106 Venue Rental - In Kind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500.00,-500.00,,,,,,,,,,,500.00,-500.00,,,1000.00,-1000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1000.00,-1000.00,0.00%
Total 6710 Event / Fundraising - In Kind,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,141.00,5350.00,-5209.00,2.64 %,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9500.00,-9500.00,0.00,141.00,14850.00,-14709.00,0.95 %,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2250.00,-2250.00,0.00,270.00,0.00,270.00,0.00,270.00,2250.00,-1980.00,12.00 %,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,411.00,17100.00,-16689.00,2.40 %
680 Program Expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00%
68000 Beds,,,,,,,,,,,,,,,,,442.93,19000.00,-18557.07,2.33 %,,,,,,,,,,,,,,,,,,,,,,,,,442.93,19000.00,-18557.07,2.33 %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,442.93,19000.00,-18557.07,2.33 %
68010 Baby Equipment,,,,,,,,,472.96,4000.00,-3527.04,11.82 %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,472.96,4000.00,-3527.04,11.82 %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,472.96,4000.00,-3527.04,11.82 %
68020 Boxes & Bag Supplies,,,,,,,,,,,,,182.32,1000.00,-817.68,18.23 %,,,,,3.75,,3.75,,,,,,,2300.00,-2300.00,,,,,,,,,,,,,,186.07,3300.00,-3113.93,5.64 %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186.07,3300.00,-3113.93,5.64 %
68025 Closet Inventory,,,,,,,,,,,,,,100000.00,-100000.00,,,,,,46.98,7500.00,-7453.02,0.63 %,,,,,,,,,,,,,,,,,,,,,46.98,107500.00,-107453.02,0.04 %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.98,107500.00,-107453.02,0.04 %
680251 Bibles,,,,,,,,,,,,,137.90,,137.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.90,,137.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.90,0.00,137.90,0.00%
6802510 Shoes,,,,,,,,,,,,,76.50,,76.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.50,,76.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.50,0.00,76.50,0.00%
6802512 School Age Boy Clothes,,,,,,,,,,,,,502.49,,502.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,502.49,,502.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,502.49,0.00,502.49,0.00%
6802513 School Age Girl Clothes,,,,,,,,,,,,,407.89,,407.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,407.89,,407.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,407.89,0.00,407.89,0.00%
6802517 Toddler Girl Clothes,,,,,,,,,,,,,37.82,,37.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.82,,37.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.82,0.00,37.82,0.00%
6802519 Baby Boy Clothes,,,,,,,,,,,,,76.97,,76.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.97,,76.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.97,0.00,76.97,0.00%
6802520 Baby Girl Clothes,,,,,,,,,,,,,54.97,,54.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.97,,54.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.97,0.00,54.97,0.00%
680254 Teen Boy Clothes,,,,,,,,,,,,,376.92,,376.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376.92,,376.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376.92,0.00,376.92,0.00%
680255 Teen Boy PJs,,,,,,,,,,,,,108.00,,108.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.00,,108.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.00,0.00,108.00,0.00%
680256 Teen Socks and Underwear,,,,,,,,,,,,,71.72,,71.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.72,,71.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.72,0.00,71.72,0.00%
680257 Teen Girl Clothes,,,,,,,,,,,,,404.39,,404.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,404.39,,404.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,404.39,0.00,404.39,0.00%
680258 Teen Girl PJs,,,,,,,,,,,,,25.61,,25.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.61,,25.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.61,0.00,25.61,0.00%
Total 68025 Closet Inventory,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2281.18,100000.00,-97718.82,2.28 %,0.00,0.00,0.00,0.00,46.98,7500.00,-7453.02,0.63 %,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2328.16,107500.00,-105171.84,2.17 %,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2328.16,107500.00,-105171.84,2.17 %
68040 Other Program Expenses,,,,,,,,,,,,,,500.00,-500.00,,,,,,,,,,,,,,,200.00,-200.00,,,,,,,,,,,,,,,700.00,-700.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,700.00,-700.00,0.00%
68045 Shoes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5000.00,-5000.00,,,5000.00,-5000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,5000.00,-5000.00,0.00%
68050 Extracurricular Expense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,900.00,24000.00,-23100.00,3.75 %,,,,,,,,,900.00,24000.00,-23100.00,3.75 %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,900.00,24000.00,-23100.00,3.75 %
68052 Life Box Gifts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000.00,-14000.00,,,,,,,14000.00,-14000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,14000.00,-14000.00,0.00%
68070 Elf Shopping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-64.20,10000.00,-10064.20,-0.64 %,,,,,,,,,,,,,-64.20,10000.00,-10064.20,-0.64 %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-64.20,10000.00,-10064.20,-0.64 %
68080 Backpacks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4000.00,-4000.00,,,4000.00,-4000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,4000.00,-4000.00,0.00%
68085 bags,,,,,,,,,,,,,3180.00,33000.00,-29820.00,9.64 %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3180.00,33000.00,-29820.00,9.64 %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3180.00,33000.00,-29820.00,9.64 %
68090 Socks / Underwear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8000.00,-8000.00,,,8000.00,-8000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,8000.00,-8000.00,0.00%
Total 680 Program Expenses,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,472.96,4000.00,-3527.04,11.82 %,5643.50,134500.00,-128856.50,4.20 %,442.93,19000.00,-18557.07,2.33 %,50.73,7500.00,-7449.27,0.68 %,0.00,0.00,0.00,0.00,-64.20,12500.00,-12564.20,-0.51 %,900.00,24000.00,-23100.00,3.75 %,0.00,14000.00,-14000.00,0.00,0.00,17000.00,-17000.00,0.00,7445.92,232500.00,-225054.08,3.20 %,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7445.92,232500.00,-225054.08,3.20 %
68100 Program Expenses - In Kind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00%
68110 Backpacks - In Kind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000.00,-2000.00,,,2000.00,-2000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,2000.00,-2000.00,0.00%
68120 Closet Inventory - In Kind,,,,,,,,,,,,,7193.00,42500.00,-35307.00,16.92 %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7193.00,42500.00,-35307.00,16.92 %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7193.00,42500.00,-35307.00,16.92 %
68130 Socks / Underwear - In Kind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000.00,-2000.00,,,2000.00,-2000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,2000.00,-2000.00,0.00%
68140 Shoes - In Kind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9000.00,-9000.00,,,9000.00,-9000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,9000.00,-9000.00,0.00%
Total 68100 Program Expenses - In Kind,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7193.00,42500.00,-35307.00,16.92 %,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13000.00,-13000.00,0.00,7193.00,55500.00,-48307.00,12.96 %,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7193.00,55500.00,-48307.00,12.96 %
